wavelength,norm_response
0.34469565217391307, 0
0.3627826086956522, 0
0.36324637681159455, 0
0.3827246376811598, 0
0.411014492753624, 0
0.4332753623188407, 0
0.44162318840579734, 0
0.45553623188405845, 0
0.4768695652173914, 0
0.4861449275362319, 0.025018395879325084
0.49171014492753623, 0.039735099337750546
0.4935652173913044, 0.08830022075055388
0.49913043478260877, 0.30905077262693303
0.502840579710145, 0.40912435614422493
0.5046956521739131, 0.47976453274466624
0.5065507246376812, 0.5688005886681392
0.5223188405797101, 0.5982339955849898
0.5366956521739132, 0.6048565121412811
0.552, 0.6578366445916122
0.566840579710145, 0.6563649742457696
0.5812173913043479, 0.6681383370125099
0.5965217391304349, 0.7049300956585731
0.6118260869565217, 0.7740986019131719
0.6271304347826088, 0.8175128771155264
0.6419710144927537, 0.8233995584988966
0.6614492753623189, 0.8771155261221488
0.67536231884058, 0.9190581309786608
0.6809275362318841, 0.9337748344370861
0.6911304347826088, 0.9492273730684326
0.7022608695652175, 0.9654157468727005
0.7096811594202901, 0.9771891096394407
0.7249855072463771, 0.9484915378955114
0.7398260869565219, 0.9941133186166298
0.7546666666666668, 0.9874908020603383
0.7690434782608697, 0.9970566593083148
0.7838840579710145, 0.9999999999999999
0.7996521739130436, 0.9654157468727005
0.8144927536231885, 0.9610007358351729
0.8260869565217392, 0.9080206033848419
0.8358260869565219, 0.8712288447387787
0.8446376811594205, 0.8388520971302431
0.8599420289855073, 0.7961736571008098
0.871072463768116, 0.7196467991169984
0.8747826086956523, 0.6938925680647541
0.884521739130435, 0.48859455481972136
0.8900869565217393, 0.3664459161147916
0.8961159420289857, 0.2619573215599722
0.90168115942029, 0.1677704194260503
0.9086376811594206, 0
0.9123478260869569, 0
1.0987826086956525, 0
